university_admission_code,university_code,university_name,institution_type,region,province,major_group_code,major_group_name,submajor_code,submajor_name,major_admission_code,major_code,major_name,admission_method,subject_combination,combination_group,cutoff_score,score_scale,cutoff_score_30,is_scale_40,weighted_subject,weighted_subject_factor,gender_requirement,honors_program,campus,cutoff_2021,cutoff_2022,cutoff_2023,cutoff_2024,years_observed,cutoff_avg_recent,cutoff_std_recent,cutoff_trend,history_ambiguous,job_category,mapping_basis,mapping_confidence,job_demand_level,job_posting_count,job_avg_salary_million,job_median_salary_million,job_avg_experience_months,note
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Công an - Quân đội,,,7220201,7220201,Ngôn ngữ Anh,THPTQG - Thang 40,A01,A,35.6,40,26.7,True,Tiếng Anh,2.0,,,,27.98,26.89,19.88,26.7,4,24.49,3.26,Tăng,False,ngôn_ngữ_dịch_thuật,major_name_keyword,high,Ổn định,384.0,15.854430379746836,15.0,11.0625,Môn Tiếng Anh hệ số 2
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Công an - Quân đội,,,7220201,7220201,Ngôn ngữ Anh,THPTQG - Thang 40,D01,D,35.6,40,26.7,True,Tiếng Anh,2.0,,,,27.98,26.89,19.88,26.7,4,24.49,3.26,Tăng,False,ngôn_ngữ_dịch_thuật,major_name_keyword,high,Ổn định,384.0,15.854430379746836,15.0,11.0625,Môn Tiếng Anh hệ số 2
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Công an - Quân đội,,,7220201,7220201,Ngôn ngữ Anh,THPTQG - Thang 40,D09,D,35.6,40,26.7,True,Tiếng Anh,2.0,,,,27.98,26.89,19.88,26.7,4,24.49,3.26,Tăng,False,ngôn_ngữ_dịch_thuật,major_name_keyword,high,Ổn định,384.0,15.854430379746836,15.0,11.0625,Môn Tiếng Anh hệ số 2
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Công an - Quân đội,,,7220201,7220201,Ngôn ngữ Anh,THPTQG - Thang 40,D10,D,35.6,40,26.7,True,Tiếng Anh,2.0,,,,27.98,26.89,19.88,26.7,4,24.49,3.26,Tăng,False,ngôn_ngữ_dịch_thuật,major_name_keyword,high,Ổn định,384.0,15.854430379746836,15.0,11.0625,Môn Tiếng Anh hệ số 2
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Kinh tế - Quản trị kinh doanh - Thương Mại,,,7310101_1,7310101,Kinh tế học (ngành Kinh tế),THPTQG,A00,A,27.2,30,27.2,False,,,,,,27.55,27.333333333333332,27.099999999999998,27.2,4,27.21,0.1,Ổn định,True,sản_xuất_lao_động_phổ_thông_cơ_khí,major_name_keyword,high,Rất cao,6341.0,14.25411899313501,12.5,15.09746096830153,
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Kinh tế - Quản trị kinh doanh - Thương Mại,,,7310101_1,7310101,Kinh tế học (ngành Kinh tế),THPTQG,A01,A,27.2,30,27.2,False,,,,,,27.55,27.333333333333332,27.099999999999998,27.2,4,27.21,0.1,Ổn định,True,sản_xuất_lao_động_phổ_thông_cơ_khí,major_name_keyword,high,Rất cao,6341.0,14.25411899313501,12.5,15.09746096830153,
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Kinh tế - Quản trị kinh doanh - Thương Mại,,,7310101_1,7310101,Kinh tế học (ngành Kinh tế),THPTQG,D01,D,27.2,30,27.2,False,,,,,,27.55,27.333333333333332,27.099999999999998,27.2,4,27.21,0.1,Ổn định,True,sản_xuất_lao_động_phổ_thông_cơ_khí,major_name_keyword,high,Rất cao,6341.0,14.25411899313501,12.5,15.09746096830153,
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Kinh tế - Quản trị kinh doanh - Thương Mại,,,7310101_1,7310101,Kinh tế học (ngành Kinh tế),THPTQG,D07,D,27.2,30,27.2,False,,,,,,,,27.099999999999998,27.2,2,27.15,0.05,Ổn định,False,sản_xuất_lao_động_phổ_thông_cơ_khí,major_name_keyword,high,Rất cao,6341.0,14.25411899313501,12.5,15.09746096830153,
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Kinh tế - Quản trị kinh doanh - Thương Mại,,,7310101_2,7310101,Kinh tế và quản lý đô thị (ngành Kinh tế),THPTQG,A00,A,27.01,30,27.01,False,,,,,,27.55,27.333333333333332,27.099999999999998,27.01,4,27.15,0.14,Ổn định,True,xây_dựng_kiến_trúc_bất_động_sản,major_name_keyword,high,Trung bình,2809.0,19.24635128334172,16.0,22.25062299750801,
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Kinh tế - Quản trị kinh doanh - Thương Mại,,,7310101_2,7310101,Kinh tế và quản lý đô thị (ngành Kinh tế),THPTQG,A01,A,27.01,30,27.01,False,,,,,,27.55,27.333333333333332,27.099999999999998,27.01,4,27.15,0.14,Ổn định,True,xây_dựng_kiến_trúc_bất_động_sản,major_name_keyword,high,Trung bình,2809.0,19.24635128334172,16.0,22.25062299750801,
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Kinh tế - Quản trị kinh doanh - Thương Mại,,,7310101_2,7310101,Kinh tế và quản lý đô thị (ngành Kinh tế),THPTQG,D01,D,27.01,30,27.01,False,,,,,,27.55,27.333333333333332,27.099999999999998,27.01,4,27.15,0.14,Ổn định,True,xây_dựng_kiến_trúc_bất_động_sản,major_name_keyword,high,Trung bình,2809.0,19.24635128334172,16.0,22.25062299750801,
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Kinh tế - Quản trị kinh doanh - Thương Mại,,,7310101_2,7310101,Kinh tế và quản lý đô thị (ngành Kinh tế),THPTQG,D07,D,27.01,30,27.01,False,,,,,,,,27.099999999999998,27.01,2,27.05,0.04,Ổn định,False,xây_dựng_kiến_trúc_bất_động_sản,major_name_keyword,high,Trung bình,2809.0,19.24635128334172,16.0,22.25062299750801,
