year,exam_program,province_code,candidate_count,mean_math_score,mean_literature_score,mean_physics_score,mean_chemistry_score,mean_biology_score,mean_history_score,mean_geography_score,mean_civics_score,mean_economics_law_score,mean_informatics_score,mean_industrial_technology_score,mean_agricultural_technology_score,mean_foreign_language_score,mean_a00_score,mean_a01_score,mean_a02_score,mean_b00_score,mean_c00_score,mean_c01_score,mean_c02_score,mean_d01_score,mean_d07_score,count_math_score,count_literature_score,count_physics_score,count_chemistry_score,count_biology_score,count_history_score,count_geography_score,count_civics_score,count_economics_law_score,count_informatics_score,count_industrial_technology_score,count_agricultural_technology_score,count_foreign_language_score,count_a00_score,count_a01_score,count_a02_score,count_b00_score,count_c00_score,count_c01_score,count_c02_score,count_d01_score,count_d07_score
2021,pre_2025,1,100334,6.951,6.7877,6.7477,6.2923,5.0336,4.8551,6.778,8.1717,,,,,6.4637,21.1836,21.8556,19.9435,19.503,18.5021,21.5248,21.0525,20.6573,21.3572,99576,99123,31018,31043,30582,68420,67914,56961,0,0,0,0,86888,30833,29702,30387,30579,67873,30071,30063,86430,29569
2021,pre_2025,2,85936,7.1604,6.4793,6.283,6.5341,5.577,5.2704,7.0708,8.5881,,,,,7.229,20.4227,21.4562,19.4542,19.7339,18.8344,20.3695,20.6065,21.0626,21.6743,85579,84598,50493,50773,50435,34367,33965,28043,0,0,0,0,75492,50268,47355,49939,50424,33951,49775,49769,75086,47214
2021,pre_2025,3,23156,6.9635,6.3571,6.9177,6.5487,5.5253,5.1414,7.1461,8.8317,,,,,6.5122,21.5461,22.2546,20.5218,20.1619,18.5323,21.5403,21.1558,20.2858,21.8596,23081,22932,8747,8758,8652,14244,14172,12041,0,0,0,0,20703,8718,8554,8613,8652,14163,8570,8568,20639,8529
2021,pre_2025,4,12574,6.8475,5.5897,6.5189,6.4532,5.1862,4.5254,6.5608,8.0107,,,,,6.4474,20.8465,21.411,19.6025,19.5667,16.7217,19.9772,19.8865,19.2205,21.2928,12488,12334,5190,5201,5098,7261,7132,6238,0,0,0,0,11246,5144,4968,5043,5098,7127,5015,5015,11176,4930
2021,pre_2025,5,5590,4.9156,5.3215,6.3555,6.3907,5.3249,4.3711,6.3947,7.585,,,,,4.173,20.3232,20.2196,19.3214,19.4088,16.0246,19.9569,19.9734,14.5609,20.2159,5458,5530,552,551,524,5007,4958,4440,0,0,0,0,4996,541,515,514,524,4956,505,503,4976,504
2021,pre_2025,6,4723,5.3028,5.7893,6.445,6.4685,5.3321,4.9824,6.8106,7.964,,,,,4.5147,20.5984,20.9543,19.5063,19.611,17.466,20.7003,20.6896,15.7189,20.9676,4411,4605,605,611,548,4038,4008,3463,0,0,0,0,4066,588,535,525,548,4004,512,512,4037,520
2021,pre_2025,7,3549,6.0606,5.6487,6.407,6.656,5.7172,5.1826,6.9968,8.2969,,,,,4.9467,20.832,20.1314,19.874,20.12,17.7347,20.2335,20.4926,16.8866,20.3677,3429,3508,613,612,586,2921,2859,2508,0,0,0,0,3101,606,586,580,586,2859,578,578,3091,579
2021,pre_2025,8,7301,6.2232,6.5327,6.5648,6.5944,5.9415,5.2038,7.1157,8.6856,,,,,5.2363,20.9409,20.7112,20.2934,20.3396,18.741,21.3269,21.345,18.3882,20.7265,7209,7253,1454,1465,1436,5812,5761,4867,0,0,0,0,6294,1450,1412,1424,1436,5760,1421,1422,6286,1411
2021,pre_2025,9,8645,5.8665,6.0837,6.6024,7.0226,6.1207,5.056,7.0384,8.4661,,,,,5.0234,21.5381,21.1926,20.6524,21.0859,18.1102,21.1427,21.5586,17.1512,21.6101,8481,8588,1062,1071,1042,7535,7472,6900,0,0,0,0,7961,1059,1024,1030,1042,7470,1023,1023,7947,1022
2021,pre_2025,10,9492,5.5715,6.2256,6.5,6.4928,5.6262,4.9908,7.0305,8.42,,,,,4.9328,20.8007,20.9258,19.984,19.9876,18.1507,21.1033,21.0971,17.3044,20.8764,9224,9373,1205,1212,1141,8189,8134,6476,0,0,0,0,7681,1187,1141,1118,1141,8132,1113,1113,7642,1126
2021,pre_2025,11,2884,5.7379,6.2435,6.6481,6.7181,5.859,5.2559,7.1957,8.5956,,,,,4.9082,21.1436,21.3682,20.3863,20.4851,18.6225,21.2128,21.3009,17.1943,21.4731,2678,2852,297,298,282,2559,2542,2045,0,0,0,0,2337,290,278,274,282,2539,274,273,2330,271
2021,pre_2025,12,16847,6.1376,6.1979,6.6223,6.8118,5.3288,4.7704,6.7937,8.198,,,,,5.2666,21.403,20.7477,19.9225,20.134,17.6903,21.0351,21.2063,18.3176,20.9124,16628,16651,3921,3941,3860,12817,12728,9520,0,0,0,0,13356,3903,3767,3824,3860,12717,3780,3777,13299,3754
2021,pre_2025,13,8088,5.8364,6.2481,6.631,6.7047,5.5587,4.7928,6.8428,8.1941,,,,,5.5139,21.2863,21.802,20.2426,20.3423,17.8186,21.3519,21.4132,18.0115,21.8659,7929,8033,956,961,932,7091,7024,5739,0,0,0,0,6701,951,923,922,932,7023,913,913,6689,919
2021,pre_2025,14,11384,5.2591,6.1225,6.538,6.6819,5.7117,4.6675,6.733,8.2623,,,,,4.4137,21.0616,20.6932,20.1226,20.2842,17.4734,21.0774,21.2201,16.1139,20.8301,11034,11268,1045,1064,1013,10265,10156,8583,0,0,0,0,9599,1031,982,980,1012,10148,968,967,9572,970
2021,pre_2025,15,16085,6.5341,6.3947,6.9403,7.0369,5.6061,5.4817,7.292,8.8477,,,,,5.8183,22.1149,21.5115,20.7078,20.8178,19.135,21.6221,21.6993,19.2866,21.5866,15923,15916,3248,3260,3179,12715,12631,10184,0,0,0,0,13425,3225,3145,3144,3179,12628,3117,3114,13384,3124
2021,pre_2025,16,13953,6.8238,6.8339,7.0872,6.9097,5.7936,5.659,7.3254,9.0477,,,,,6.2729,22.1143,21.7269,21.0493,20.8799,19.7852,22.2061,22.0171,20.9334,21.5331,13841,13771,4136,4141,4054,9710,9626,6448,0,0,0,0,10497,4118,3976,4026,4049,9621,3986,3985,10463,3960
2021,pre_2025,17,16311,6.1384,6.2978,6.8623,6.3871,5.3153,4.7865,6.8499,8.3159,,,,,5.8755,21.3392,22.0527,20.2812,19.8079,17.8621,21.5849,21.1008,18.8481,21.5742,16166,16140,3155,3139,3078,13077,13000,10655,0,0,0,0,13648,3116,3055,3055,3078,12989,3022,3021,13565,3018
2021,pre_2025,18,17849,6.6386,6.7162,6.8257,6.7087,5.362,4.9474,6.9418,8.4994,,,,,5.8287,21.5546,21.2433,20.225,20.1215,18.5131,21.8254,21.6949,19.7277,21.0954,17705,17654,4888,4895,4795,12832,12788,9966,0,0,0,0,14822,4866,4751,4766,4794,12782,4727,4725,14771,4735
2021,pre_2025,19,16274,6.9588,6.5537,7.0947,6.8322,5.0667,4.8918,6.9027,8.4542,,,,,5.9905,22.0729,21.6862,20.316,20.0606,18.2646,21.9884,21.7052,19.9344,21.4067,16224,16073,6015,6015,5928,10161,10057,8315,0,0,0,0,14277,5990,5861,5903,5928,10053,5846,5844,14222,5839
2021,pre_2025,21,22182,6.9194,6.614,7.005,6.7343,5.3596,5.0269,7.1016,8.7029,,,,,5.9691,21.8902,21.6606,20.5102,20.2638,18.679,21.9284,21.6332,20.1087,21.3484,22110,21862,6628,6672,6555,15343,15296,11742,0,0,0,0,18337,6597,6419,6480,6553,15282,6394,6391,18251,6398
2021,pre_2025,22,12295,6.776,6.0394,6.9515,6.8984,5.1455,4.9169,6.8274,8.1966,,,,,5.6569,22.0166,21.3145,20.3151,20.2845,17.7257,21.3631,21.2935,19.0828,21.2532,12146,12100,3538,3549,3476,8648,8583,6593,0,0,0,0,10068,3515,3413,3442,3476,8582,3385,3385,10016,3394
2021,pre_2025,23,9443,5.1906,6.0171,6.5521,6.5113,5.2035,4.6709,6.6941,8.0731,,,,,4.3774,20.9455,20.3859,19.6497,19.6082,17.3319,20.7924,20.7499,15.9098,20.3347,9323,9335,1325,1329,1279,8077,7961,6945,0,0,0,0,8236,1314,1254,1264,1279,7955,1241,1239,8213,1243
2021,pre_2025,24,9627,7.1093,7.1458,6.9789,7.029,5.5782,5.3962,7.2701,8.8756,,,,,5.8749,22.1968,21.6948,20.7643,20.83,19.7275,22.5081,22.5543,20.6697,21.7352,9500,9482,3135,3140,3080,6395,6333,5155,0,0,0,0,8261,3120,3026,3060,3080,6328,3018,3017,8228,3011
2021,pre_2025,25,20849,7.4229,6.8216,7.0346,7.175,5.8655,5.7046,7.5034,8.9888,,,,,6.4555,22.3587,21.8267,21.0569,21.2065,20.0043,22.0426,22.1735,21.0813,21.9551,20786,20522,10411,10408,10252,10282,10242,8267,0,0,0,0,18487,10369,10110,10214,10251,10235,10127,10125,18410,10074
2021,pre_2025,26,22768,7.0584,6.4763,6.8156,6.8851,5.5236,5.1503,7.1123,8.7086,,,,,5.9689,21.7507,21.2464,20.3887,20.4772,18.5255,21.6091,21.6673,19.9533,21.2905,22661,22362,10125,10165,10000,12448,12398,9505,0,0,0,0,19493,10086,9814,9926,9999,12393,9806,9806,19407,9785
2021,pre_2025,27,11008,7.0615,6.8175,7.0087,7.006,5.8191,5.624,7.3654,9.072,,,,,6.3594,22.1908,21.8915,21.0458,21.0577,19.7227,22.2229,22.2149,20.911,21.875,10914,10833,3844,3862,3765,7059,7007,5362,0,0,0,0,9165,3831,3716,3735,3764,7007,3703,3702,9131,3708
2021,pre_2025,28,39884,6.277,7.0529,6.7307,6.6595,5.1964,4.8498,6.8817,8.4224,,,,,5.1408,21.3628,20.5082,19.8962,19.8414,18.7528,21.8395,21.7528,18.9807,20.4016,39503,39214,10853,10885,10547,28710,28553,23346,0,0,0,0,33927,10794,10359,10457,10545,28527,10303,10299,33792,10310
2021,pre_2025,29,34327,6.4698,7.0232,6.6062,6.6541,5.163,4.763,6.9393,8.2511,,,,,4.9736,21.2512,20.2801,19.7486,19.8337,18.7278,21.5741,21.6129,18.6274,20.274,34048,33567,10123,10175,9934,23852,23794,21605,0,0,0,0,31308,10065,9548,9824,9932,23763,9493,9489,31160,9496
2021,pre_2025,30,17199,6.6407,7.0521,6.9503,6.919,5.3558,5.0644,7.1444,8.5566,,,,,5.3596,22.0376,21.2307,20.4648,20.4675,19.2727,22.1135,22.058,19.378,21.1548,16981,16879,4359,4373,4231,12654,12624,10999,0,0,0,0,15211,4325,4127,4183,4231,12603,4094,4092,15152,4097
2021,pre_2025,31,11852,6.147,6.162,6.5235,6.5707,5.3172,4.7863,6.9646,8.1889,,,,,5.0378,20.9378,20.5269,19.6659,19.7494,17.864,20.7225,20.7702,17.4342,20.5526,11684,11698,2223,2230,2155,9559,9503,8926,0,0,0,0,11092,2209,2121,2134,2155,9496,2106,2105,11052,2107
2021,pre_2025,32,8485,6.2728,5.7422,6.5859,6.6157,5.2662,4.6693,6.7956,7.8628,,,,,5.1439,21.0591,20.6044,19.7566,19.7943,17.1714,20.2993,20.3171,17.2235,20.616,8291,8318,2547,2549,2448,5873,5826,5384,0,0,0,0,7830,2529,2420,2428,2447,5817,2404,2403,7795,2402
