ma_truong,ten_truong,ma_nganh,ten_nganh,to_hop_xet_tuyen,diem_chuan,hoc_phi,nam_tuyen_sinh,phuong_thuc_khac,mo_ta_nganh,chuong_trinh_dao_tao,co_hoi_nghe_nghiep,nhom_nganh
AIS,Học viện quốc tế,7220204|20,"Ngôn ngữ Trung (Thí sinh Nam, toàn quốc)",A01; D01; D04; D09; D10,20.76,,2026,--,"Ngành đào tạo chuyên sâu thuộc nhóm ngành Nhân văn, trang bị nền tảng lý thuyết và kỹ năng thực hành hiện đại đáp ứng nhu cầu doanh nghiệp.","Thời gian đào tạo 4 năm (130 tín chỉ). Gồm: Ngữ âm - Âm vị học, Cú pháp học, Lý thuyết dịch thuật, Biên dịch nâng cao, Phiên dịch hội thảo, Tiếng Anh thương mại.","Biên phiên dịch viên, Chuyên viên truyền thông quốc tế, Chuyên viên quan hệ công chúng, Giảng viên tiếng Anh, Chuyên viên điều phối tại các tổ chức phi chính phủ (NGOs).",Nhân văn
AIS,Học viện quốc tế,7220204|10,Ngôn ngữ Trung Quốc (Nữ),A01; D01; D04; D09; D10,23.98,,2026,--,"Ngành đào tạo chuyên sâu thuộc nhóm ngành Nhân văn, trang bị nền tảng lý thuyết và kỹ năng thực hành hiện đại đáp ứng nhu cầu doanh nghiệp.","Thời gian đào tạo 4 năm (130 tín chỉ). Gồm: Ngữ âm - Âm vị học, Cú pháp học, Lý thuyết dịch thuật, Biên dịch nâng cao, Phiên dịch hội thảo, Tiếng Anh thương mại.","Biên phiên dịch viên, Chuyên viên truyền thông quốc tế, Chuyên viên quan hệ công chúng, Giảng viên tiếng Anh, Chuyên viên điều phối tại các tổ chức phi chính phủ (NGOs).",Nhân văn
AIS,Học viện quốc tế,7220201|20,"Ngôn ngữ Anh (Thí sinh Nam, toàn quốc)",A01; D01; D04; D09; D10,20.58,,2026,--,"Trang bị năng lực tiếng Anh đạt chuẩn quốc tế, kiến thức về văn hóa - xã hội các nước nói tiếng Anh và kỹ năng nghiệp vụ sư phạm, biên phiên dịch, thương mại.","Thời gian đào tạo 4 năm (130 tín chỉ). Gồm: Ngữ âm - Âm vị học, Cú pháp học, Lý thuyết dịch thuật, Biên dịch nâng cao, Phiên dịch hội thảo, Tiếng Anh thương mại.","Biên phiên dịch viên, Chuyên viên truyền thông quốc tế, Chuyên viên quan hệ công chúng, Giảng viên tiếng Anh, Chuyên viên điều phối tại các tổ chức phi chính phủ (NGOs).",Nhân văn
AIS,Học viện quốc tế,7220201|10,"Ngôn ngữ Anh (Thí sinh Nữ, toàn quốc)",A01; D01; D04; D09; D10,24.31,,2026,--,"Trang bị năng lực tiếng Anh đạt chuẩn quốc tế, kiến thức về văn hóa - xã hội các nước nói tiếng Anh và kỹ năng nghiệp vụ sư phạm, biên phiên dịch, thương mại.","Thời gian đào tạo 4 năm (130 tín chỉ). Gồm: Ngữ âm - Âm vị học, Cú pháp học, Lý thuyết dịch thuật, Biên dịch nâng cao, Phiên dịch hội thảo, Tiếng Anh thương mại.","Biên phiên dịch viên, Chuyên viên truyền thông quốc tế, Chuyên viên quan hệ công chúng, Giảng viên tiếng Anh, Chuyên viên điều phối tại các tổ chức phi chính phủ (NGOs).",Nhân văn
ANH,Học viện An Ninh Nhân Dân,7860114|22,"Ngành An ninh mạng và phòng chống tội phạm công nghệ cao (Thí sinh Nam, miền Nam)",A00; A01; X26; X27; X28,21.33,,2026,--,"Trang bị nền tảng khoa học máy tính, kỹ thuật lập trình, thuật toán và phát triển ứng dụng công nghệ trong lĩnh vực Ngành An Ninh Mạng Và Phòng Chống Tội Phạm Công Nghệ Cao.","Thời gian đào tạo 4-4.5 năm (135-150 tín chỉ) với trọng tâm thực hành đồ án, kiến trúc hệ thống, an ninh thông tin và thực tập doanh nghiệp công nghệ.","Kỹ sư phần mềm, chuyên viên phân tích hệ thống, kỹ sư dữ liệu, quản trị mạng và chuyên viên bảo mật tại các tập đoàn công nghệ toàn cầu.",Máy tính và công nghệ thông tin
ANH,Học viện An Ninh Nhân Dân,7480201|20,"Ngành Công nghệ thông tin (Thí sinh Nam, toàn quốc)",A00; A01; X26; X27; X28,22.23,,2026,--,"Đào tạo kiến thức nền tảng và chuyên sâu về thiết kế, phát triển, triển khai và bảo trì các hệ thống phần mềm, mạng máy tính, cơ sở dữ liệu và ứng dụng thông minh.","Thời gian đào tạo 4 năm (135 tín chỉ). Gồm: Lập trình hướng đối tượng, Cấu trúc dữ liệu và giải thuật, Cơ sở dữ liệu, Mạng máy tính, Phát triển ứng dụng Web/Mobile, Điện toán đám mây và Đồ án tốt nghiệp.","Kỹ sư phát triển phần mềm (Frontend, Backend, Fullstack), Kỹ sư DevOps, Chuyên viên quản trị cơ sở dữ liệu, Chuyên viên quản trị mạng tại các công ty công nghệ, ngân hàng và doanh nghiệp đa quốc gia.",Máy tính và công nghệ thông tin
ANH,Học viện An Ninh Nhân Dân,7860114|12,"Ngành An ninh mạng và phòng chống tội phạm công nghệ cao (Thí sinh Nữ, miền Nam)",A00; A01; X26; X27; X28,23.07,,2026,--,"Trang bị nền tảng khoa học máy tính, kỹ thuật lập trình, thuật toán và phát triển ứng dụng công nghệ trong lĩnh vực Ngành An Ninh Mạng Và Phòng Chống Tội Phạm Công Nghệ Cao.","Thời gian đào tạo 4-4.5 năm (135-150 tín chỉ) với trọng tâm thực hành đồ án, kiến trúc hệ thống, an ninh thông tin và thực tập doanh nghiệp công nghệ.","Kỹ sư phần mềm, chuyên viên phân tích hệ thống, kỹ sư dữ liệu, quản trị mạng và chuyên viên bảo mật tại các tập đoàn công nghệ toàn cầu.",Máy tính và công nghệ thông tin
ANH,Học viện An Ninh Nhân Dân,7860114|11,"Ngành An ninh mạng và phòng chống tội phạm công nghệ cao (Thí sinh Nữ, miền Bắc)",A00; A01; X26; X27; X28,24.07,,2026,--,"Trang bị nền tảng khoa học máy tính, kỹ thuật lập trình, thuật toán và phát triển ứng dụng công nghệ trong lĩnh vực Ngành An Ninh Mạng Và Phòng Chống Tội Phạm Công Nghệ Cao.","Thời gian đào tạo 4-4.5 năm (135-150 tín chỉ) với trọng tâm thực hành đồ án, kiến trúc hệ thống, an ninh thông tin và thực tập doanh nghiệp công nghệ.","Kỹ sư phần mềm, chuyên viên phân tích hệ thống, kỹ sư dữ liệu, quản trị mạng và chuyên viên bảo mật tại các tập đoàn công nghệ toàn cầu.",Máy tính và công nghệ thông tin
ANH,Học viện An Ninh Nhân Dân,7860114|21,"Ngành An ninh mạng và phòng chống tội phạm công nghệ cao (Thí sinh Nam, miền Bắc)",A00; A01; X26; X27; X28,19.01,,2026,--,"Trang bị nền tảng khoa học máy tính, kỹ thuật lập trình, thuật toán và phát triển ứng dụng công nghệ trong lĩnh vực Ngành An Ninh Mạng Và Phòng Chống Tội Phạm Công Nghệ Cao.","Thời gian đào tạo 4-4.5 năm (135-150 tín chỉ) với trọng tâm thực hành đồ án, kiến trúc hệ thống, an ninh thông tin và thực tập doanh nghiệp công nghệ.","Kỹ sư phần mềm, chuyên viên phân tích hệ thống, kỹ sư dữ liệu, quản trị mạng và chuyên viên bảo mật tại các tập đoàn công nghệ toàn cầu.",Máy tính và công nghệ thông tin
ANH,Học viện An Ninh Nhân Dân,7860100|11,"Nhóm ngành nghiệp vụ An ninh (Thí sinh Nữ, miền Bắc)",A00; A01; C03; D01; X02; X03; X04,24.3,,2026,--,"Ngành Nhóm Ngành Nghiệp Vụ An Ninh đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
